idx,params_1,params_2,params_3,params_4,fitness,penalty,val_rmse,gen
0,5.0,9.0,110.0,2.0,8.32660013,0.11900000000000001,8.20760013,1.0
1,3.0,63.0,58.0,1.0,7.65775351,0.12300000000000001,7.53475351,1.0
2,5.0,28.0,12.0,2.0,8.54072427,0.04,8.500724270000001,1.0
3,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,1.0
4,1.0,64.0,191.0,2.0,8.44824307,0.255,8.19324307,1.0
5,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,1.0
6,2.0,78.0,138.0,2.0,7.94174956,0.216,7.72574956,1.0
7,2.0,170.0,167.0,1.0,8.01423222,0.339,7.67523222,1.0
8,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,1.0
9,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,1.0
10,3.0,37.0,159.0,1.0,8.08227311,0.198,7.884273109999999,1.0
11,2.0,78.0,138.0,2.0,7.94174956,0.216,7.72574956,1.0
12,2.0,81.0,171.0,2.0,8.01839316,0.252,7.766393160000001,1.0
13,1.0,153.0,36.0,2.0,8.1858198,0.189,7.996819800000001,1.0
14,1.0,134.0,126.0,2.0,8.28147636,0.26,8.02147636,1.0
15,5.0,41.0,58.0,2.0,8.28269277,0.099,8.18369277,1.0
16,3.0,156.0,169.0,1.0,8.19276747,0.327,7.86576747,1.0
17,1.0,69.0,117.0,2.0,8.37288291,0.186,8.18688291,1.0
18,5.0,153.0,39.0,2.0,8.32448854,0.192,8.13248854,1.0
19,1.0,199.0,198.0,1.0,8.25837106,0.399,7.85937106,1.0
20,4.0,43.0,49.0,2.0,8.62801061,0.092,8.53601061,1.0
21,2.0,15.0,9.0,2.0,8.496143,0.024,8.472143,1.0
22,5.0,178.0,128.0,1.0,7.99042377,0.308,7.68242377,1.0
23,1.0,69.0,117.0,2.0,8.37288291,0.186,8.18688291,1.0
24,2.0,170.0,167.0,1.0,8.01423222,0.339,7.67523222,1.0
25,2.0,123.0,198.0,2.0,8.04132481,0.321,7.720324810000001,1.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,1.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,1.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,1.0
29,4.0,104.0,191.0,2.0,8.47167132,0.29500000000000004,8.17667132,1.0
0,3.0,112.0,58.0,2.0,7.9079425,0.17,7.7379425,2.0
1,3.0,63.0,58.0,1.0,7.65775351,0.12300000000000001,7.53475351,2.0
2,5.0,28.0,12.0,2.0,8.54072427,0.04,8.500724270000001,2.0
3,3.0,63.0,58.0,1.0,7.65775351,0.12300000000000001,7.53475351,2.0
4,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,2.0
5,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,2.0
6,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,2.0
7,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,2.0
8,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,2.0
9,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,2.0
10,3.0,37.0,159.0,1.0,8.08227311,0.198,7.884273109999999,2.0
11,2.0,78.0,138.0,2.0,7.94174956,0.216,7.72574956,2.0
12,2.0,170.0,167.0,1.0,8.01423222,0.339,7.67523222,2.0
13,2.0,81.0,171.0,2.0,8.01839316,0.252,7.766393160000001,2.0
14,2.0,149.0,163.0,2.0,7.69278275,0.312,7.38078275,2.0
15,3.0,37.0,159.0,1.0,8.08227311,0.198,7.884273109999999,2.0
16,1.0,153.0,36.0,2.0,8.1858198,0.189,7.996819800000001,2.0
17,5.0,156.0,169.0,1.0,7.77574006,0.327,7.44874006,2.0
18,5.0,153.0,39.0,2.0,8.32448854,0.192,8.13248854,2.0
19,1.0,199.0,198.0,1.0,8.25837106,0.399,7.85937106,2.0
20,4.0,43.0,49.0,2.0,8.62801061,0.092,8.53601061,2.0
21,5.0,153.0,39.0,2.0,8.32448854,0.192,8.13248854,2.0
22,5.0,178.0,128.0,1.0,7.99042377,0.308,7.68242377,2.0
23,1.0,69.0,117.0,2.0,8.37288291,0.186,8.18688291,2.0
24,2.0,170.0,167.0,1.0,8.01423222,0.339,7.67523222,2.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,2.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,2.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,2.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,2.0
29,4.0,168.0,49.0,2.0,8.11643017,0.217,7.89943017,2.0
0,3.0,112.0,58.0,2.0,7.9079425,0.17,7.7379425,3.0
1,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,3.0
2,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,3.0
3,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,3.0
4,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,3.0
5,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,3.0
6,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,3.0
7,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,3.0
8,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,3.0
9,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,3.0
10,3.0,37.0,159.0,1.0,8.08227311,0.198,7.884273109999999,3.0
11,2.0,78.0,138.0,2.0,7.94174956,0.216,7.72574956,3.0
12,2.0,170.0,167.0,1.0,8.01423222,0.339,7.67523222,3.0
13,2.0,81.0,171.0,2.0,8.01839316,0.252,7.766393160000001,3.0
14,2.0,149.0,163.0,2.0,7.69278275,0.312,7.38078275,3.0
15,2.0,77.0,138.0,2.0,8.05300915,0.215,7.8380091499999995,3.0
16,5.0,178.0,128.0,1.0,7.99042377,0.308,7.68242377,3.0
17,5.0,156.0,169.0,1.0,7.77574006,0.327,7.44874006,3.0
18,2.0,170.0,167.0,2.0,8.0627785,0.337,7.7257785000000005,3.0
19,2.0,126.0,171.0,2.0,7.97622816,0.29700000000000004,7.67922816,3.0
20,4.0,43.0,49.0,2.0,8.62801061,0.092,8.53601061,3.0
21,3.0,37.0,159.0,1.0,8.08227311,0.198,7.884273109999999,3.0
22,5.0,178.0,128.0,1.0,7.99042377,0.308,7.68242377,3.0
23,1.0,69.0,117.0,2.0,8.37288291,0.186,8.18688291,3.0
24,2.0,170.0,167.0,1.0,8.01423222,0.339,7.67523222,3.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,3.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,3.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,3.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,3.0
29,4.0,168.0,49.0,2.0,8.11643017,0.217,7.89943017,3.0
0,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,4.0
1,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,4.0
2,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,4.0
3,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,4.0
4,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,4.0
5,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,4.0
6,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,4.0
7,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,4.0
8,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,4.0
9,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,4.0
10,3.0,37.0,159.0,1.0,8.08227311,0.198,7.884273109999999,4.0
11,2.0,78.0,138.0,2.0,7.94174956,0.216,7.72574956,4.0
12,2.0,170.0,167.0,1.0,8.01423222,0.339,7.67523222,4.0
13,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,4.0
14,2.0,149.0,163.0,2.0,7.69278275,0.312,7.38078275,4.0
15,3.0,112.0,58.0,2.0,7.9079425,0.17,7.7379425,4.0
16,2.0,78.0,138.0,2.0,7.94174956,0.216,7.72574956,4.0
17,5.0,156.0,169.0,1.0,7.77574006,0.327,7.44874006,4.0
18,5.0,178.0,128.0,1.0,7.99042377,0.308,7.68242377,4.0
19,2.0,126.0,171.0,2.0,7.97622816,0.29700000000000004,7.67922816,4.0
20,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,4.0
21,3.0,37.0,159.0,1.0,8.08227311,0.198,7.884273109999999,4.0
22,5.0,178.0,128.0,1.0,7.99042377,0.308,7.68242377,4.0
23,2.0,77.0,138.0,2.0,8.05300915,0.215,7.8380091499999995,4.0
24,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,4.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,4.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,4.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,4.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,4.0
29,4.0,168.0,49.0,2.0,8.11643017,0.217,7.89943017,4.0
0,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,5.0
1,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,5.0
2,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,5.0
3,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,5.0
4,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,5.0
5,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,5.0
6,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,5.0
7,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,5.0
8,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,5.0
9,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,5.0
10,2.0,104.0,12.0,2.0,7.90128927,0.116,7.785289270000001,5.0
11,5.0,183.0,58.0,2.0,7.6040782,0.24100000000000002,7.3630782,5.0
12,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,5.0
13,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,5.0
14,2.0,149.0,163.0,2.0,7.69278275,0.312,7.38078275,5.0
15,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,5.0
16,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,5.0
17,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,5.0
18,5.0,156.0,169.0,1.0,7.77574006,0.327,7.44874006,5.0
19,3.0,112.0,58.0,2.0,7.9079425,0.17,7.7379425,5.0
20,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,5.0
21,2.0,78.0,138.0,2.0,7.94174956,0.216,7.72574956,5.0
22,2.0,126.0,171.0,1.0,7.97271801,0.299,7.67371801,5.0
23,2.0,77.0,138.0,2.0,8.05300915,0.215,7.8380091499999995,5.0
24,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,5.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,5.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,5.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,5.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,5.0
29,4.0,168.0,49.0,2.0,8.11643017,0.217,7.89943017,5.0
0,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,6.0
1,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,6.0
2,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,6.0
3,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,6.0
4,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,6.0
5,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,6.0
6,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,6.0
7,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,6.0
8,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,6.0
9,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,6.0
10,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,6.0
11,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,6.0
12,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,6.0
13,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,6.0
14,2.0,149.0,163.0,2.0,7.69278275,0.312,7.38078275,6.0
15,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,6.0
16,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,6.0
17,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,6.0
18,5.0,156.0,169.0,1.0,7.77574006,0.327,7.44874006,6.0
19,2.0,149.0,12.0,2.0,7.75817265,0.161,7.59717265,6.0
20,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,6.0
21,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,6.0
22,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,6.0
23,5.0,156.0,169.0,1.0,7.77574006,0.327,7.44874006,6.0
24,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,6.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,6.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,6.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,6.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,6.0
29,4.0,168.0,49.0,2.0,8.11643017,0.217,7.89943017,6.0
0,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,7.0
1,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,7.0
2,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,7.0
3,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
4,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,7.0
5,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
6,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
7,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
8,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
9,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,7.0
10,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
11,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
12,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,7.0
13,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
14,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,7.0
15,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,7.0
16,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,7.0
17,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,7.0
18,5.0,156.0,169.0,1.0,7.77574006,0.327,7.44874006,7.0
19,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,7.0
20,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,7.0
21,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,7.0
22,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,7.0
23,5.0,156.0,169.0,1.0,7.77574006,0.327,7.44874006,7.0
24,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,7.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,7.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,7.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,7.0
29,4.0,168.0,49.0,2.0,8.11643017,0.217,7.89943017,7.0
0,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,8.0
1,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,8.0
2,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,8.0
3,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
4,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,8.0
5,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,8.0
6,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
7,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
8,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
9,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
10,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
11,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
12,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
13,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
14,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
15,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,8.0
16,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,8.0
17,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,8.0
18,5.0,156.0,169.0,1.0,7.77574006,0.327,7.44874006,8.0
19,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,8.0
20,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,8.0
21,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,8.0
22,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,8.0
23,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,8.0
24,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,8.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,8.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,8.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,8.0
29,4.0,168.0,49.0,2.0,8.11643017,0.217,7.89943017,8.0
0,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,9.0
1,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,9.0
2,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,9.0
3,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,9.0
4,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,9.0
5,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,9.0
6,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
7,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
8,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
9,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
10,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
11,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
12,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
13,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
14,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
15,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
16,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
17,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
18,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,9.0
19,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,9.0
20,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,9.0
21,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,9.0
22,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,9.0
23,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,9.0
24,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,9.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,9.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,9.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,9.0
29,4.0,168.0,49.0,2.0,8.11643017,0.217,7.89943017,9.0
0,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,10.0
1,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,10.0
2,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,10.0
3,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,10.0
