idx,params_1,params_2,params_3,params_4,fitness,penalty,val_rmse,gen
4,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,19.0
5,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,19.0
6,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,19.0
7,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,19.0
8,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,19.0
9,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,19.0
10,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,19.0
11,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,19.0
12,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,19.0
13,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,19.0
14,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,19.0
15,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,19.0
16,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,19.0
17,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,19.0
18,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,19.0
19,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,19.0
20,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,19.0
21,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,19.0
22,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,19.0
23,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,19.0
24,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,19.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,19.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,19.0
27,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,19.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,19.0
29,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,19.0
0,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,20.0
1,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,20.0
2,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,20.0
3,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,20.0
4,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,20.0
5,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,20.0
6,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,20.0
7,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,20.0
8,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,20.0
9,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,20.0
10,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,20.0
11,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,20.0
12,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,20.0
13,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,20.0
14,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,20.0
15,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,20.0
16,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,20.0
17,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,20.0
18,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,20.0
19,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,20.0
20,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,20.0
21,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,20.0
22,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,20.0
23,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,20.0
24,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,20.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,20.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,20.0
27,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,20.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,20.0
29,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,20.0
0,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,21.0
1,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,21.0
2,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,21.0
3,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,21.0
4,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,21.0
5,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,21.0
6,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,21.0
7,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,21.0
8,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,21.0
9,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,21.0
10,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,21.0
11,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,21.0
12,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,21.0
13,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,21.0
14,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,21.0
15,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,21.0
16,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,21.0
17,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,21.0
18,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,21.0
19,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,21.0
20,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,21.0
21,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,21.0
22,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,21.0
23,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,21.0
24,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,21.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,21.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,21.0
27,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,21.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,21.0
29,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,21.0
0,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,22.0
1,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,22.0
2,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,22.0
3,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,22.0
4,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,22.0
5,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,22.0
6,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,22.0
7,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,22.0
8,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,22.0
9,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,22.0
10,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,22.0
11,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,22.0
12,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,22.0
13,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,22.0
14,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,22.0
15,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,22.0
16,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,22.0
17,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,22.0
18,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,22.0
19,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,22.0
20,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,22.0
21,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,22.0
22,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,22.0
23,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,22.0
24,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,22.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,22.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,22.0
27,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,22.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,22.0
29,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,22.0
0,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,23.0
1,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,23.0
2,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,23.0
3,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,23.0
4,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,23.0
5,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,23.0
6,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,23.0
7,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,23.0
8,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,23.0
9,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,23.0
10,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,23.0
11,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,23.0
12,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,23.0
13,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,23.0
14,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,23.0
15,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,23.0
16,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,23.0
17,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,23.0
18,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,23.0
19,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,23.0
20,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,23.0
21,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,23.0
22,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,23.0
23,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,23.0
24,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,23.0
25,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,23.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,23.0
27,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,23.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,23.0
29,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,23.0
0,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,24.0
1,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,24.0
2,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,24.0
3,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,24.0
4,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,24.0
5,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,24.0
6,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,24.0
7,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,24.0
8,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,24.0
9,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,24.0
10,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,24.0
11,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,24.0
12,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,24.0
13,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,24.0
14,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,24.0
15,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,24.0
16,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,24.0
17,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,24.0
18,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,24.0
19,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,24.0
20,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,24.0
21,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,24.0
22,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,24.0
23,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,24.0
24,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,24.0
25,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,24.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,24.0
27,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,24.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,24.0
29,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,24.0
0,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,25.0
1,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,25.0
2,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,25.0
3,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,25.0
4,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,25.0
5,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,25.0
6,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,25.0
7,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,25.0
8,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,25.0
9,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,25.0
10,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,25.0
11,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,25.0
12,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,25.0
13,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,25.0
14,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,25.0
15,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,25.0
16,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,25.0
17,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,25.0
18,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,25.0
19,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,25.0
20,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,25.0
21,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,25.0
22,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,25.0
23,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,25.0
24,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,25.0
25,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,25.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,25.0
27,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,25.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,25.0
29,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,25.0
0,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,26.0
1,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,26.0
2,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,26.0
3,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,26.0
4,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,26.0
5,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,26.0
6,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,26.0
7,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,26.0
8,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,26.0
9,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,26.0
10,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,26.0
11,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,26.0
12,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,26.0
13,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,26.0
14,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,26.0
15,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,26.0
16,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,26.0
17,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,26.0
18,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,26.0
19,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,26.0
20,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,26.0
21,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,26.0
22,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,26.0
23,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,26.0
24,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,26.0
25,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,26.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,26.0
27,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,26.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,26.0
29,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,26.0
0,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,27.0
1,5.0,194.0,127.0,2.0,7.03869998,0.321,6.71769998,27.0
2,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,27.0
3,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,27.0
4,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,27.0
5,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,27.0
6,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,27.0
7,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,27.0
8,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,27.0
9,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,27.0
10,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,27.0
11,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,27.0
12,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,27.0
13,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,27.0
14,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,27.0
15,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,27.0
16,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,27.0
17,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,27.0
18,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,27.0
19,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,27.0
20,5.0,122.0,104.0,2.0,7.3107749,0.226,7.0847749,27.0
21,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,27.0
22,5.0,121.0,106.0,2.0,7.32239031,0.227,7.09539031,27.0
23,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,27.0
24,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,27.0
25,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,27.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,27.0
27,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,27.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,27.0
29,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,27.0
